NUMBER,GAS_USED,TXS,TIMESTAMP
239471,53319000,2539,1614078494
239472,25200000,1200,1614078497
239473,82173000,3913,1614078508
239474,23877000,1137,1614078516
239475,53718000,2558,1614078525
239476,30555000,1455,1614078531
239477,54495000,2595,1614078548
239478,48405000,2305,1614078572
239479,22050000,1050,1614078576
239480,55965000,2665,1614078583
239481,29085000,1385,1614078600
239482,59031000,2811,1614078608
239483,27300000,1300,1614078663
239484,65877000,3137,1614078672
239485,9639000,459,1614078674
239486,36120000,1720,1614078678
239487,48930000,2330,1614078708
239488,59220000,2820,1614078779
239489,46431000,2211,1614078790
239490,59304000,2824,1614078812
239491,23100000,1100,1614078819
239492,45003000,2143,1614078824
239493,33054000,1574,1614078828
239494,49056000,2336,1614078834
239495,12432000,592,1614078836
239496,73038000,3478,1614078865
239497,29610000,1410,1614078875
239498,77868000,3708,1614078888
239499,27216000,1296,1614078901
239500,51492000,2452,1614078910
239501,42399000,2019,1614078935
239502,12936000,616,1614078936
239503,85827000,4087,1614078948
239504,22323000,1063,1614078951
239505,65520000,3120,1614078959
239506,19488000,928,1614078986
239507,72093000,3433,1614079011
239508,22701000,1081,1614079053
239509,63903000,3043,1614079067
239510,22302000,1062,1614079073
239511,64848000,3088,1614079096
239512,1050000,50,1614079097
239513,85071000,4051,1614079109
239514,23079000,1099,1614079118
239515,26124000,1244,1614079121
239516,54558000,2598,1614079128
239517,53592000,2552,1614079137
239518,43911000,2091,1614079193
239519,49644000,2364,1614079199
239520,58443000,2783,1614079206
239521,47439000,2259,1614079215
239522,34251000,1631,1614079220
239523,59136000,2816,1614079227
239524,49014000,2334,1614079237
239525,28287000,1347,1614079243
239526,53550000,2550,1614079251
239527,54600000,2600,1614079285
239528,18522000,882,1614079287
239529,49518000,2358,1614079293
239530,58632000,2792,1614079303
239531,24990000,1190,1614079311
239532,83160000,3960,1614079329
239533,22890000,1090,1614079333
239534,62559000,2979,1614079350
239535,27090000,1290,1614079375
239536,16947000,807,1614079377
239537,78624000,3744,1614079387
239538,29526000,1406,1614079398
239539,56280000,2680,1614079408
239540,23667000,1127,1614079414
239541,49476000,2356,1614079420
239542,58674000,2794,1614079441
239543,43596000,2076,1614079464
239544,56154000,2674,1614079483
239545,13146000,626,1614079487
239546,13482000,642,1614079488
239547,72492000,3452,1614079504
239548,35658000,1698,1614079536
239549,52542000,2502,1614079545
239550,27300000,1300,1614079551
239551,63000000,3000,1614079559
239552,37800000,1800,1614079565
239553,49350000,2350,1614079590
239554,53781000,2561,1614079618
239555,44919000,2139,1614079663
239556,40236000,1916,1614079678
239557,23037000,1097,1614079684
239558,79485000,3785,1614079697
239559,5670000,270,1614079725
239560,79023000,3763,1614079740
239561,23457000,1117,1614079747
239562,48342000,2302,1614079754
239563,27426000,1306,1614079758
239564,58485000,2785,1614079772
239565,22239000,1059,1614079780
239566,40761000,1941,1614079786
239567,63000000,3000,1614079795
239568,25200000,1200,1614079820
239569,22050000,1050,1614079823
239570,63693000,3033,1614079850
239571,22281000,1061,1614079881
239572,50946000,2426,1614079888
239573,55104000,2624,1614079897
239574,50946000,2426,1614079929
239575,28140000,1340,1614079932
239576,13692000,652,1614079934
239577,56616000,2696,1614079941
239578,42126000,2006,1614079946
239579,43617000,2077,1614079986
239580,45276000,2156,1614080011
239581,42882000,2042,1614080040
239582,23142000,1102,1614080044
239583,62223000,2963,1614080069
239584,11970000,570,1614080071
239585,85827000,4087,1614080095
239586,22323000,1063,1614080119
239587,82593000,3933,1614080157
239588,25557000,1217,1614080175
239589,61593000,2933,1614080196
239590,13713000,653,1614080198
239591,34734000,1654,1614080202
239592,50505000,2405,1614080230
239593,22911000,1091,1614080233
239594,50778000,2418,1614080239
239595,47481000,2261,1614080245
239596,59241000,2821,1614080278
239597,48909000,2329,1614080324
239598,53550000,2550,1614080331
239599,49350000,2350,1614080355
239600,19089000,909,1614080358
239601,43743000,2083,1614080363
239602,42021000,2001,1614080376
239603,45003000,2143,1614080387
239604,21735000,1035,1614080391
239605,62076000,2956,1614080399
239606,33369000,1589,1614080416
239607,59976000,2856,1614080428
239608,47229000,2249,1614080442
239609,32592000,1552,1614080448
239610,53025000,2525,1614080475
239611,22533000,1073,1614080480
239612,61866000,2946,1614080488
239613,34062000,1622,1614080492
239614,69195000,3295,1614080500
239615,35154000,1674,1614080505
239616,65373000,3113,1614080516
239617,42777000,2037,1614080535
239618,39123000,1863,1614080545
239619,27300000,1300,1614080549
239620,60900000,2900,1614080561
239621,21588000,1028,1614080564
239622,63504000,3024,1614080597
239623,22512000,1072,1614080600
239624,23268000,1108,1614080603
239625,81837000,3897,1614080613
239626,26061000,1241,1614080637
239627,63945000,3045,1614080648
239628,18921000,901,1614080651
239629,67032000,3192,1614080665
239630,29295000,1395,1614080686
239631,14973000,713,1614080688
239632,68796000,3276,1614080696
239633,16947000,807,1614080724
239634,73605000,3505,1614080746
239635,33495000,1595,1614080763
239636,51975000,2475,1614080781
239637,49056000,2336,1614080790
239638,59094000,2814,1614080836
239639,26922000,1282,1614080845
239640,14889000,709,1614080847
239641,29442000,1402,1614080850
239642,56385000,2685,1614080883
239643,27174000,1294,1614080887
239644,60816000,2896,1614080900
239645,22050000,1050,1614080907
239646,85050000,4050,1614080922
239647,23100000,1100,1614080936
239648,85050000,4050,1614080951
239649,22050000,1050,1614080958
239650,84987000,4047,1614080971
239651,22050000,1050,1614080982
239652,54684000,2604,1614080989
239653,30681000,1461,1614081002
239654,76818000,3658,1614081016
239655,29022000,1382,1614081022
239656,74928000,3568,1614081032
239657,13545000,645,1614081033
239658,65877000,3137,1614081042
239659,31920000,1520,1614081046
239660,53424000,2544,1614081091
239661,38955000,1855,1614081105
239662,29988000,1428,1614081113
239663,34650000,1650,1614081117
239664,73500000,3500,1614081139
239665,19971000,951,1614081142
239666,81900000,3900,1614081153
239667,13650000,650,1614081190
239668,71568000,3408,1614081216
239669,35616000,1696,1614081226
239670,30597000,1457,1614081233
239671,41937000,1997,1614081239
239672,43071000,2051,1614081268
239673,51261000,2441,1614081302
239674,34419000,1639,1614081316
239675,63861000,3041,1614081337
239676,0,0,1614081339
239677,69216000,3296,1614081347
239678,35154000,1674,1614081352
239679,7581000,361,1614081353
239680,30177000,1437,1614081357
239681,58926000,2806,1614081377
239682,48657000,2317,1614081384
239683,49371000,2351,1614081392
239684,36393000,1733,1614081404
239685,70917000,3377,1614081416
239686,9933000,473,1614081419
239687,75117000,3577,1614081439
239688,15729000,749,1614081441
239689,72450000,3450,1614081466
239690,12537000,597,1614081479
239691,19152000,912,1614081482
239692,47775000,2275,1614081487
239693,52017000,2477,1614081519
239694,36204000,1724,1614081537
239695,40341000,1921,1614081542
239696,19908000,948,1614081544
239697,77826000,3706,1614081568
239698,30324000,1444,1614081598
239699,30681000,1461,1614081602
239700,18543000,883,1614081604
239701,66780000,3180,1614081638
239702,28077000,1337,1614081642
239703,58695000,2795,1614081649
239704,49056000,2336,1614081655
239705,58443000,2783,1614081663
239706,41601000,1981,1614081671
239707,42000000,2000,1614081678
